sequence,field,location,metabolite,mean_CRLB,std_CRLB,mean_tCr,std_tCr,mean_tissue,std_tissue
steam,3,ll,GSH,10.8,1.151086443,0.177566077,0.032035425,1.840206714,0.328688247
steam,7,ll,GSH,16.2,5.641365083,0.088216822,0.016976792,0.848521887,0.1865487
slaser,3,ll,GSH,18.9,4.546977018,0.122442963,0.038899287,1.257823525,0.260030953
slaser,7,ll,GSH,10.2,0.758287544,0.113200618,0.012362452,1.318853226,0.173236326
steam,3,ll,Ins,2.9,0.223606798,0.917277352,0.052131171,9.508078376,0.709072222
steam,7,ll,Ins,3.1,1.47478812,0.879150533,0.036735334,8.110278683,0.300125229
slaser,3,ll,Ins,3,0,0.862896547,0.026626553,10.6864897,0.375433777
slaser,7,ll,Ins,2,0,0.800593633,0.028163946,8.242766505,0.250847116
steam,7,ll,Lac,12.25,3.570714214,0.108037115,0.025355077,1.003696421,0.264187865
slaser,7,ll,Lac,12.9,4.233792626,0.12106258,0.037439421,1.272106814,0.536369088
steam,3,ll,NAA,2.4,0.547722558,1.237127978,0.063826298,12.79933858,0.346393225
steam,3,ll,Mac,2.8,0.974679434,8.84E-05,1.48E-05,0.000913395,0.00013759
steam,7,ll,NAA,3,2.263846285,1.098506313,0.12077144,10.1066851,1.061609465
slaser,3,ll,NAA,2,0,1.2536132,0.028480448,15.83390024,0.825280513
slaser,7,ll,NAA,1.1,0.223606798,1.367344217,0.056331487,13.67588142,0.678136477
steam,3,ll,NAA_NAAG,1.4,0.418330013,1.531184604,0.095473419,15.82752503,0.489131241
steam,7,ll,NAA_NAAG,1.6,0.651920241,1.430884021,0.112468448,13.21400911,1.178487286
slaser,3,ll,NAA_NAAG,1.4,0.223606798,1.465618824,0.051801064,18.33641826,0.720322464
slaser,7,ll,NAA_NAAG,1,0,1.648792664,0.071830443,16.98575218,0.945298923
steam,3,ul,GSH,11.1,1.710263138,0.151608094,0.021690264,1.61281007,0.207482979
steam,7,ul,GSH,20.3,7.587819186,0.077723876,0.010601716,0.813270116,0.095399305
slaser,3,ul,GSH,13.2,1.483239697,0.200920431,0.023113805,2.390222572,0.303994596
slaser,7,ul,GSH,9.4,0.741619849,0.132434873,0.013417362,1.451128069,0.14666918
steam,3,ul,Ins,2.8,0.273861279,0.873695704,0.040232457,9.306823758,0.347330526
steam,7,ul,Ins,3.1,0.821583836,0.825199038,0.023536328,8.353251337,0.320427673
slaser,3,ul,Ins,3.6,0.741619849,0.834247333,0.026436225,9.860711589,0.52825108
slaser,7,ul,Ins,2.2,0.273861279,0.780741797,0.010875595,7.747754209,0.307615023
steam,7,ul,Lac,10.5,4.886205071,0.195475231,0.08037519,1.947302233,0.808639947
slaser,7,ul,Lac,9.2,2.167948339,0.216565388,0.084270002,1.676606016,0.553028814
steam,3,ul,NAA,2.1,0.223606798,1.337036628,0.077684532,14.23284203,0.511346253
steam,7,ul,NAA,2.1,0.223606798,1.261408255,0.07192509,12.69827047,0.453542384
steam,3,ul,Mac,2.2,0.447213595,9.51E-05,1.22E-05,0.001011867,0.000115866
slaser,3,ul,NAA,2.5,0.5,1.517689815,0.093610005,17.60164698,0.628974223
slaser,7,ul,NAA,1.1,0.223606798,1.518416175,0.072506804,14.33328779,0.559757015
steam,3,ul,NAA_NAAG,1.3,0.447213595,1.541930943,0.09933516,16.41995913,0.886984463
steam,3,ul,PCho,31,NA,0.043378245,NA,0.464417092,NA
steam,7,ul,NAA_NAAG,1.4,0.651920241,1.476210033,0.10241839,14.92824626,0.785669577
slaser,3,ul,NAA_NAAG,1.7,0.273861279,1.721513423,0.026230526,20.47365022,0.824532506
slaser,7,ul,NAA_NAAG,1,0,1.825550338,0.084250521,17.73502809,0.708102967
steam,3,ul,NAAG,10.7,2.564176281,0.20485086,0.046619406,2.18665554,0.51447609
steam,7,ll,Ala,23,NA,0.05589282,NA,0.531144928,NA
steam,3,ll,NAAG,7.6,0.547722558,0.294065539,0.064918628,3.028305166,0.618109152
steam,7,ll,NAAG,5.9,1.341640786,0.332378593,0.149128875,3.025637388,1.398738212
slaser,3,ll,NAAG,10.2,0.974679434,0.211964189,0.028019167,2.608058121,0.245373755
slaser,7,ll,NAAG,4.2,0.273861279,0.281456552,0.026061319,2.787571823,0.301745042
steam,3,ll,PCr,9.3,2.109502311,0.399517209,0.035226883,4.14198059,0.409058927
steam,7,ll,PCr,7.1,0.821583836,0.455829838,0.054337935,4.302242451,0.589903559
slaser,3,ll,PCr,8,0.5,0.507594099,0.018474758,6.288950842,0.455216101
slaser,7,ll,PCr,4.9,0.223606798,0.465548486,0.009483497,5.010960681,0.189821473
steam,3,ll,PE,44.66666667,6.658328118,0.108625809,0.017839002,1.065835468,0.169389486
steam,7,ll,PE,33,17.08800749,0.117490779,0.065463615,1.090512673,0.641604692
slaser,3,ll,PE,22.9,3.380088756,0.272529604,0.046664543,3.360873876,0.635650198
slaser,7,ll,PE,12.9,2.770379035,0.288697854,0.042129837,2.789937276,0.448070803
steam,3,ll,sIns,14.6,3.748332963,0.053402609,0.012689123,0.55088163,0.111642484
steam,7,ll,MacY,4.4,5.091659847,0.008174132,0.002368772,0.074996169,0.019113197
steam,7,ll,sIns,26.1,8.23407554,0.028517955,0.013314333,0.264754173,0.127114567
slaser,3,ll,sIns,13.7,1.753567792,0.053597126,0.009386787,0.663519322,0.100026939
slaser,7,ll,sIns,16.4,4.601630146,0.028402191,0.010666126,0.294334135,0.117867796
steam,7,ll,PCho,33.5,7.176350047,0.038471751,0.015150969,0.351055815,0.11820549
steam,3,ll,Tau,12,2.031009601,0.291569376,0.024592718,3.008254458,0.127698414
steam,7,ll,Tau,8.7,1.680773631,0.23812503,0.030880674,2.291887813,0.279337605
slaser,3,ll,Tau,19.4,3.209361307,0.185872061,0.040158087,2.328499533,0.524093417
slaser,7,ll,Tau,9,2.872281323,0.198456775,0.034236978,2.219920403,0.38807206
steam,7,ul,Ala,17.125,4.836923954,0.126479149,0.076551998,1.292408034,0.771924795
steam,7,ul,NAAG,8.8,3.581200916,0.214782412,0.063562432,2.139981118,0.611635708
slaser,3,ul,NAAG,14.6,4.037325848,0.214802377,0.047711316,2.292618688,0.623633846
slaser,7,ul,NAAG,4.2,0.836660027,0.307116493,0.046854276,2.886676973,0.416888702
steam,3,ul,PCr,8.5,0.935414347,0.423992961,0.013065477,4.514858318,0.112416209
steam,7,ul,PCr,7.5,1.414213562,0.465826695,0.0376389,4.79476568,0.341056696
slaser,3,ul,PCr,10.9,2.631539473,0.445474641,0.040832618,5.144710552,0.402290286
slaser,7,ul,PCr,5.1,0.418330013,0.51284269,0.03537773,5.309761353,0.380151951
steam,3,ul,PE,35.66666667,6.171169527,0.13246726,0.022436096,1.399995068,0.239058056
steam,7,ul,PE,32,4.949747468,0.143165307,0.045018452,1.461399544,0.368812979
slaser,3,ul,PE,28.75,6.224949799,0.260615888,0.050744451,3.071202207,0.511488697
slaser,7,ul,PE,20.5,9.427353817,0.217141257,0.061268637,2.016034532,0.57115053
steam,3,ul,sIns,13.6,3.489269264,0.051904502,0.014972707,0.548875142,0.139881119
steam,7,ul,MacY,2.6,0.894427191,0.008854687,0.00134703,0.08923402,0.010419789
steam,7,ul,sIns,38,8.344159634,0.022157949,0.012622028,0.225078756,0.126840538
slaser,3,ul,sIns,27.1,12.93928128,0.03811774,0.016215465,0.443976117,0.171693842
slaser,7,ul,sIns,19.2,7.429670248,0.029164114,0.012535044,0.28005776,0.128227879
steam,7,ul,PCho,24.6,8.554238715,0.055045539,0.011228939,0.555830449,0.103835313
steam,3,ul,Tau,13.5,2.236067977,0.25038346,0.030469441,2.660191327,0.25454859
steam,7,ul,Tau,11.4,1.816590212,0.218472155,0.021476002,2.290530355,0.172428671
slaser,3,ul,Tau,32,6.528782429,0.152455508,0.02566204,1.756017406,0.232589107
slaser,7,ul,Tau,8.4,0.821583836,0.206336188,0.023839947,2.082592269,0.15362032
