"Metabolite","Sequence","Location","Field","Mean_CV_tCr","Mean_CV_tissue"
"PCho","slaser","ul",7,9.4885338367443,7.9722857051177
"PCho","slaser","ll",7,14.3495501036061,15.0362309244955
"MacY","steam","ul",3,NA,NA
"MacY","steam","ll",3,NA,NA
"MacY","steam","ul",7,7.67810725493991,7.17215036155299
"MacY","steam","ll",7,18.7529112096986,18.7982507501227
"MacY","slaser","ul",3,NA,NA
"MacY","slaser","ll",3,NA,NA
"MacY","slaser","ul",7,NA,NA
"MacY","slaser","ll",7,NA,NA
"Lac","steam","ul",3,NA,NA
"Lac","steam","ll",3,NA,NA
"Lac","steam","ul",7,19.1344950787874,18.3926668752984
"Lac","steam","ll",7,10.9404927859406,13.1217588166526
"Lac","slaser","ul",3,NA,NA
"Lac","slaser","ll",3,NA,NA
"Lac","slaser","ul",7,19.0620085216512,20.1922427875397
"Lac","slaser","ll",7,27.0263770847955,27.671554694889
"Ala","steam","ul",3,NA,NA
"Ala","steam","ll",3,NA,NA
"Ala","steam","ul",7,31.8830615687968,30.871533987495
"Ala","steam","ll",7,NA,NA
"Ala","slaser","ul",3,NA,NA
"Ala","slaser","ll",3,NA,NA
"Ala","slaser","ul",7,43.6505722599003,43.2159497185698
"Ala","slaser","ll",7,81.6981460784209,78.6785916591217
