"sequence","field","location","sub","session","metabolite","CRLB","tCr","tissue"
"steam",3,"ll","sub-03",1,"Tau",17,0.232134931,2.40436474
"steam",3,"ll","sub-03",1,"Cr_PCr",2,1,10.35761713
"steam",3,"ll","sub-03",1,"NAA_NAAG",2,1.496893032,15.50424491
"steam",3,"ll","sub-03",1,"Glu_Gln",4,1.285397248,13.31365256
"steam",3,"ll","sub-03",1,"PCho_GPC",4,0.283510874,2.936497089
"steam",3,"ul","sub-03",2,"Mac",3,8.39e-05,0.000928083
"steam",3,"ul","sub-03",2,"Asc",25,0.155997448,1.725599173
"steam",3,"ul","sub-03",2,"Asp",18,0.223096555,2.467830311
"steam",3,"ul","sub-03",2,"PCho",999,0,0
"steam",3,"ul","sub-03",2,"GPC",4,0.234049341,2.588986899
"steam",3,"ul","sub-03",2,"Cr",7,0.581986389,6.437767059
"steam",3,"ul","sub-03",2,"PCr",10,0.418013611,4.623947069
"steam",3,"ul","sub-03",2,"GABA",79,0.044768184,0.495212851
"steam",3,"ul","sub-03",2,"Glc",21,0.188324117,2.08318755
"steam",3,"ul","sub-03",2,"Gln",27,0.135261591,1.49622505
"steam",3,"ul","sub-03",2,"Glu",4,0.914398128,10.1148107
"steam",3,"ul","sub-03",2,"GSH",12,0.14419396,1.595032365
"steam",3,"ul","sub-03",2,"Ins",3,0.807635049,8.933828031
"steam",3,"ul","sub-03",2,"NAA",2,1.286261165,14.22825331
"steam",3,"ul","sub-03",2,"NAAG",12,0.175776265,1.944386799
"steam",3,"ul","sub-03",2,"PE",73,0.06880051,0.761051578
"steam",3,"ul","sub-03",2,"sIns",19,0.038600595,0.426988752
"steam",3,"ul","sub-03",2,"Tau",13,0.265631646,2.938341333
"steam",3,"ul","sub-03",2,"Cr_PCr",2,1,11.06053785
"steam",3,"ul","sub-03",2,"NAA_NAAG",2,1.462037431,16.1726401
"steam",3,"ul","sub-03",2,"Glu_Gln",4,1.049659719,11.61103575
"steam",3,"ul","sub-03",2,"PCho_GPC",4,0.234049341,2.588986899
"steam",3,"ll","sub-03",2,"Mac",5,7.35e-05,0.000685351
"steam",3,"ll","sub-03",2,"Asc",999,0,0
"steam",3,"ll","sub-03",2,"Asp",20,0.28459562,2.652455123
"steam",3,"ll","sub-03",2,"PCho",999,0,0
"steam",3,"ll","sub-03",2,"GPC",4,0.277988499,2.590876199
"steam",3,"ll","sub-03",2,"Cr",7,0.668909825,6.234295855
"steam",3,"ll","sub-03",2,"PCr",14,0.331090175,3.08578829
"steam",3,"ll","sub-03",2,"GABA",20,0.247399976,2.305788589
"steam",3,"ll","sub-03",2,"Glc",55,0.092866756,0.865525984
"steam",3,"ll","sub-03",2,"Gln",12,0.45919491,4.279735201
"steam",3,"ll","sub-03",2,"Glu",5,1.307842897,12.18920585
"steam",3,"ll","sub-03",2,"GSH",10,0.237244586,2.211139503
"steam",3,"ll","sub-03",2,"Ins",3,0.967209103,9.014470227
"steam",3,"ll","sub-03",2,"NAA",3,1.258044782,11.72508322
"steam",3,"ll","sub-03",2,"NAAG",6,0.469227946,4.373243937
"steam",3,"ll","sub-03",2,"PE",78,0.085403157,0.795964607
"steam",3,"ll","sub-03",2,"sIns",21,0.046861618,0.436754218
"steam",3,"ll","sub-03",2,"Tau",14,0.334026673,3.113156701
"steam",3,"ll","sub-03",2,"Cr_PCr",3,1,9.320084145
"steam",3,"ll","sub-03",2,"NAA_NAAG",2,1.727272727,16.09832716
"steam",3,"ll","sub-03",2,"Glu_Gln",4,1.767037807,16.46894105
"steam",3,"ll","sub-03",2,"PCho_GPC",4,0.277988499,2.590876199
"steam",3,"ul","sub-04",1,"Mac",2,0.000103287,0.001061451
"steam",3,"ul","sub-04",1,"Asc",44,0.077800134,0.79953481
"steam",3,"ul","sub-04",1,"Asp",11,0.322266936,3.311866176
"steam",3,"ul","sub-04",1,"PCho",999,0,0
"steam",3,"ul","sub-04",1,"GPC",3,0.257880618,2.650182194
"steam",3,"ul","sub-04",1,"Cr",6,0.550860721,5.661074059
"steam",3,"ul","sub-04",1,"PCr",8,0.44913929,4.61570527
"steam",3,"ul","sub-04",1,"GABA",178,0.017773307,0.18265235
"steam",3,"ul","sub-04",1,"Glc",16,0.223116477,2.292918796
"steam",3,"ul","sub-04",1,"Gln",16,0.201319025,2.068911197
"steam",3,"ul","sub-04",1,"Glu",4,1.024480216,10.5283571
"steam",3,"ul","sub-04",1,"GSH",11,0.150234742,1.54392929
"steam",3,"ul","sub-04",1,"Ins",2,0.868209257,8.922394929
"steam",3,"ul","sub-04",1,"NAA",2,1.405209032,14.44102313
"steam",3,"ul","sub-04",1,"NAAG",15,0.136262017,1.400334676
"steam",3,"ul","sub-04",1,"PE",28,0.160742231,1.651912438
"steam",3,"ul","sub-04",1,"sIns",9,0.076905884,0.790344755
"steam",3,"ul","sub-04",1,"Tau",11,0.292085848,3.001701809
"steam",3,"ul","sub-04",1,"Cr_PCr",2,1,10.27677933
"steam",3,"ul","sub-04",1,"NAA_NAAG",1,1.541471044,15.84135785
"steam",3,"ul","sub-04",1,"Glu_Gln",3,1.225687458,12.59611953
"steam",3,"ul","sub-04",1,"PCho_GPC",3,0.257880618,2.650182194
"steam",3,"ll","sub-04",1,"Mac",2,0.000103462,0.00098797
"steam",3,"ll","sub-04",1,"Asc",39,0.096708067,0.92348657
"steam",3,"ll","sub-04",1,"Asp",11,0.345110334,3.295534367
"steam",3,"ll","sub-04",1,"PCho",999,0,0
"steam",3,"ll","sub-04",1,"GPC",3,0.298444471,2.849911797
"steam",3,"ll","sub-04",1,"Cr",6,0.592065598,5.653764417
"steam",3,"ll","sub-04",1,"PCr",9,0.407934403,3.895455195
"steam",3,"ll","sub-04",1,"GABA",26,0.132762571,1.267778945
"steam",3,"ll","sub-04",1,"Glc",22,0.174363921,1.665039376
"steam",3,"ll","sub-04",1,"Gln",14,0.257325455,2.457257282
"steam",3,"ll","sub-04",1,"Glu",4,1.090920053,10.41743516
"steam",3,"ll","sub-04",1,"GSH",11,0.164717231,1.572921016
"steam",3,"ll","sub-04",1,"Ins",3,0.894489328,8.541675032
"steam",3,"ll","sub-04",1,"NAA",2,1.315929098,12.56609594
"steam",3,"ll","sub-04",1,"NAAG",7,0.301097311,2.875244345
"steam",3,"ll","sub-04",1,"PE",49,0.096708067,0.92348658
"steam",3,"ll","sub-04",1,"sIns",10,0.071626673,0.683978831
"steam",3,"ll","sub-04",1,"Tau",10,0.337272398,3.220688199
"steam",3,"ll","sub-04",1,"Cr_PCr",2,1,9.549219605
"steam",3,"ll","sub-04",1,"NAA_NAAG",1,1.617146991,15.44249175
"steam",3,"ll","sub-04",1,"Glu_Gln",3,1.348245509,12.87469244
"steam",3,"ll","sub-04",1,"PCho_GPC",3,0.298444471,2.849911797
"steam",3,"ul","sub-04",2,"Mac",2,0.000106135,0.001066255
"steam",3,"ul","sub-04",2,"Asc",48,0.067808142,0.681217771
"steam",3,"ul","sub-04",2,"Asp",10,0.349926296,3.515448229
"steam",3,"ul","sub-04",2,"PCho",274,0.005885022,0.059122413
"steam",3,"ul","sub-04",2,"GPC",6,0.255471143,2.566527823
"steam",3,"ul","sub-04",2,"Cr",6,0.557772991,5.603528787
"steam",3,"ul","sub-04",2,"PCr",7,0.44222701,4.442724592
"steam",3,"ul","sub-04",2,"GABA",55,0.054087765,0.543379393
"steam",3,"ul","sub-04",2,"Glc",22,0.157047284,1.577736816
"steam",3,"ul","sub-04",2,"Gln",11,0.285746683,2.870683584
"steam",3,"ul","sub-04",2,"Glu",3,1.059076993,10.63975583
"steam",3,"ul","sub-04",2,"GSH",10,0.150357184,1.510526362
"steam",3,"ul","sub-04",2,"Ins",3,0.899535095,9.036957486
"steam",3,"ul","sub-04",2,"NAA",2,1.434969951,14.41607173
"steam",3,"ul","sub-04",2,"NAAG",10,0.186529085,1.873918457
"steam",3,"ul","sub-04",2,"PE",33,0.148316136,1.490021479
"steam",3,"ul","sub-04",2,"sIns",8,0.073704502,0.7404541
"steam",3,"ul","sub-04",2,"Tau",11,0.273500398,2.747654286
"steam",3,"ul","sub-04",2,"Cr_PCr",2,1,10.04625338
"steam",3,"ul","sub-04",2,"NAA_NAAG",1,1.621612428,16.29112934
"steam",3,"ul","sub-04",2,"Glu_Gln",3,1.344823676,13.51043944
"steam",3,"ul","sub-04",2,"PCho_GPC",3,0.261356165,2.625650236
"steam",3,"ll","sub-04",2,"Mac",2,0.000108166,0.001054362
"steam",3,"ll","sub-04",2,"Asc",30,0.122477717,1.193876833
"steam",3,"ll","sub-04",2,"Asp",11,0.349718443,3.408952907
"steam",3,"ll","sub-04",2,"PCho",244,0.007519944,0.073302208
"steam",3,"ll","sub-04",2,"GPC",6,0.276396059,2.694227792
"steam",3,"ll","sub-04",2,"Cr",6,0.549155327,5.353005219
"steam",3,"ll","sub-04",2,"PCr",8,0.450844674,4.394701786
"steam",3,"ll","sub-04",2,"GABA",50,0.066752698,0.650685745
"steam",3,"ll","sub-04",2,"Glc",54,0.071797278,0.699858833
"steam",3,"ll","sub-04",2,"Gln",14,0.242491788,2.3637389
"steam",3,"ll","sub-04",2,"Glu",4,0.978765838,9.540722611
"steam",3,"ll","sub-04",2,"GSH",11,0.163068982,1.589548656
"steam",3,"ll","sub-04",2,"Ins",3,0.937822618,9.141620107
"steam",3,"ll","sub-04",2,"NAA",2,1.270295636,12.38246967
"steam",3,"ll","sub-04",2,"NAAG",8,0.263256687,2.566149053
"steam",3,"ll","sub-04",2,"PE",58,0.088808071,0.86567506
"steam",3,"ll","sub-04",2,"sIns",9,0.074730174,0.728447837
"steam",3,"ll","sub-04",2,"Tau",11,0.311004224,3.031578047
"steam",3,"ll","sub-04",2,"Cr_PCr",2,1,9.747707005
"steam",3,"ll","sub-04",2,"NAA_NAAG",1,1.533552323,14.94861872
"steam",3,"ll","sub-04",2,"Glu_Gln",4,1.221257626,11.90446151
"steam",3,"ll","sub-04",2,"PCho_GPC",4,0.283916003,2.76753
"steam",3,"ul","sub-05",1,"Mac",2,8.29e-05,0.00093457
"steam",3,"ul","sub-05",1,"Asc",52,0.067412303,0.760270164
"steam",3,"ul","sub-05",1,"Asp",13,0.276970005,3.123643933
"steam",3,"ul","sub-05",1,"PCho",999,0,0
"steam",3,"ul","sub-05",1,"GPC",4,0.207219115,2.336999389
"steam",3,"ul","sub-05",1,"Cr",6,0.613828165,6.922701329
"steam",3,"ul","sub-05",1,"PCr",9,0.386171835,4.355212796
"steam",3,"ul","sub-05",1,"GABA",81,0.039959329,0.45065788
"steam",3,"ul","sub-05",1,"Glc",15,0.235485511,2.65578537
"steam",3,"ul","sub-05",1,"Gln",23,0.142450432,1.606543741
"steam",3,"ul","sub-05",1,"Glu",4,0.993187595,11.20108441
"steam",3,"ul","sub-05",1,"GSH",12,0.129944077,1.465498145
"steam",3,"ul","sub-05",1,"Ins",3,0.844433147,9.523444515
"steam",3,"ul","sub-05",1,"NAA",2,1.24168785,14.00364894
"steam",3,"ul","sub-05",1,"NAAG",10,0.191459075,2.159259003
"steam",3,"ul","sub-05",1,"PE",34,0.133197763,1.502192934
"steam",3,"ul","sub-05",1,"sIns",16,0.03904423,0.440337471
"steam",3,"ul","sub-05",1,"Tau",18,0.184341637,2.078989152
"steam",3,"ul","sub-05",1,"Cr_PCr",2,1,11.27906084
"steam",3,"ul","sub-05",1,"NAA_NAAG",1,1.433248602,16.16405465
"steam",3,"ul","sub-05",1,"Glu_Gln",4,1.135638027,12.80762815
